id,source,target,type,label,date,outcome,presetTags,title
e569,YOL_PLA_0023,T_DRUKPA,underpinning,associated with,,,"[""drukpa"", ""kagyu""]",Entity ↔ Underpinning association
e570,YOL_PLA_0023,T_KAGYU,underpinning,associated with,,,"[""drukpa"", ""kagyu""]",Entity ↔ Underpinning association
e571,EXP_061,ENT_PLA_EX_034,explorer_link,documented / linked,,,[],Explorer ↔ Entity association
e572,EXP_062,ENT_PLA_EX_034,explorer_link,documented / linked,,,[],Explorer ↔ Entity association
e573,EXT_PLA_0006,YOL_TRA_0012,underpinning,associated with,,,[],Entity ↔ Underpinning association
e574,YOL_PLA_0024,C_RETREAT,underpinning,associated with,,,"[""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e575,PL_LADAKH,C_MAHAMUDRA,underpinning,associated with,,,"[""drukpa"", ""kagyu""]",Entity ↔ Underpinning association
e576,PL_LADAKH,T_DRUKPA,underpinning,associated with,,,"[""drukpa"", ""kagyu""]",Entity ↔ Underpinning association
e577,PL_LADAKH,T_KAGYU,underpinning,associated with,,,"[""drukpa"", ""kagyu""]",Entity ↔ Underpinning association
e578,PL_LADAKH,YOL_PRA_0007,underpinning,associated with,,,"[""drukpa"", ""kagyu""]",Entity ↔ Underpinning association
e579,PL_LADAKH,YOL_TRA_0005,underpinning,associated with,,,"[""drukpa"", ""kagyu""]",Entity ↔ Underpinning association
e580,PL_LADAKH,YOL_TRA_0012,underpinning,associated with,,,"[""drukpa"", ""kagyu""]",Entity ↔ Underpinning association
e581,EXP_001,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e582,EXP_002,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e583,EXP_003,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e584,EXP_004,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e585,EXP_005,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e586,EXP_008,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e587,EXP_010,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e588,EXP_011,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e589,EXP_014,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e590,EXP_016,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e591,EXP_018,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e592,EXP_019,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e593,EXP_020,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e594,EXP_021,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
